id;nom;prenom;date_naiss;lieu_naiss;sexe;telephone;adresse_physique;region_residence;depart_residence;niveau_etude;cni
1;beurre que Bhoutan;Diesel;2023-03-27;Pizza attribuer Country;FEMME;5680;Triplette dépôt;ZIGINCHOR;KAFFRINE;ATTESTATION;486
2;retrait Granit souvent;Dollar;2023-03-28;Incroyable Plastique Singlespeed;FEMME;25366;complètement;MATAM;SARAYA;CAP2;23805
3;isabelle carrément consequuntur;Ouest beurre;2023-03-28;Investissement;HOMME;29405;Plastique écru Bois;THIES;AUTRE;BEP;20015
4;paiement;bœuf;2023-03-27;Chaussures Account;HOMME;7325;rattraper où;FATICK;KEBEMERE;DOCTORAT;9849
5;biathlète police;alors;2023-03-28;Savoureux;FEMME;12886;Ouest Est commis;SAINT_LOUIS;PIKINE;EQUIVALENT_BFEM;17634
6;plouf Est;Femme;2023-03-27;pschitt Chemise Femme;FEMME;9203;proche;MATAM;PODOR;BEP;13323
7;couché;Luxueux Account Analyste;2023-03-28;Savon;HOMME;9443;assez Salade Coton;DAKAR;KANELKANEL;EQUIVALENT_BFEM;26032
8;Électrique;Augustins;2023-03-27;Assistant;FEMME;32105;Chaussures;KEDOUGOU;GOUDIRY;BTI;7353
9;Bois Recyclé point;facture cinabre;2023-03-27;façon Coton Homme;HOMME;7827;dignissimos Hybride;DIOURBEL;PIKINE;SECONDE;32119
10;tendre orchidée;Account;2023-03-27;entre;HOMME;28058;Essence;LOUGA;GOSSAS;BFEM;24244
