id;carte_etudiant;nom;prenom;date_naiss;lieu_naiss;sexe;telephone;adresse_physique;region_residence;depart_residence;email;cni
1;EXE Account;mindshare;exploit back-end paradigms;2023-03-28;bluetooth;HOMME;99700;b Wooden;AUTRE;GOSSAS;Armelle3@gmail.com;18200
2;e-commerce synergistic;invoice a multi-byte;matrix Fresh backing;2023-03-28;Sleek Vaneau b;FEMME;12593;Avon Bike;SAINT_LOUIS;SEDHIOU;Avoye_Picard39@gmail.com;93950
3;des expedite;Licensed navigating;Basse-Normandie hack;2023-03-28;Berkshire;HOMME;36005;du Borders;TAMBACOUNDA;BIGNONA;Amandine22@yahoo.fr;13036
4;c Fish Licensed;Dinar Administrateur USB;Bedfordshire Joubert;2023-03-27;SAS;HOMME;73020;Account;TAMBACOUNDA;LINGUERE;Bertille_Lemaire32@gmail.com;55814
5;Plastic generate generating;digital cross-platform Zimbabwe;wireless functionalities;2023-03-28;Avon didactic viral;FEMME;40665;infrastructure asymmetric;THIES;BIGNONA;Aricie_Picard7@hotmail.fr;26633
6;b Card;up program Outdoors;Car;2023-03-27;Garden world-class a;FEMME;18850;Ball methodical;LOUGA;MATAM;Gertrude_Lefevre98@gmail.com;3792
7;Plastic wireless;USB generating partnerships;hacking demand-driven;2023-03-27;mobile SDD programming;FEMME;91777;systematic deposit infrastructures;LOUGA;LINGUERE;Audeline.Deschamps17@gmail.com;96246
8;flexibility Haute-Normandie Fresh;intelligence;Customizable Salad Victoire;2023-03-27;deposit a b;HOMME;19125;Rubber;KAFFRINE;LOUGA;Nestor_Nicolas13@hotmail.fr;11639
9;a;Stagiaire feed Tasty;quantify;2023-03-27;a;FEMME;66494;c digital orange;KEDOUGOU;MBACKE;Sgolne_Richard25@gmail.com;61479
10;Garden;Soft Movies Buckinghamshire;Émirats calculate scalable;2023-03-27;navigate Right-sized morph;FEMME;47438;granular Allemagne;KAFFRINE;ZICHUINCHOR;Archambaud30@yahoo.fr;44947
